genres,count
rock,1811
rap,1757
pop,1488
hip hop,1398
classic rock,992
pop rap,947
dance pop,881
permanent wave,868
trap,724
hard rock,714
singer-songwriter,589
album rock,589
mellow gold,584
glam rock,566
modern rock,562
gangster rap,551
blues rock,538
metal,459
art rock,448
alternative metal,419
edm,406
southern hip hop,404
pop rock,396
canadian pop,348
pop dance,345
new wave pop,337
west coast rap,335
alternative rock,304
nu metal,289
atl hip hop,286
detroit hip hop,278
folk,275
hardcore hip hop,268
protopunk,238
psychedelic rock,238
roots rock,236
art pop,235
tropical house,235
electro house,231
folk rock,225
indie rock,222
country,221
post-teen pop,220
stomp and holler,215
electropop,215
soft rock,213
contemporary country,209
indie folk,208
melodic rap,207
piano rock,199
british invasion,197
rap rock,195
progressive house,194
neo mellow,190
heartland rock,190
country road,184
indie pop,172
francoton,167
french hip hop,167
french pop,167
rap conscient,167
glam metal,164
adult standards,160
lounge,160
vocal jazz,160
g funk,156
east coast hip hop,152
british blues,149
canadian contemporary r&b,143
chicano rap,142
uk pop,142
industrial,139
industrial metal,139
industrial rock,139
lilith,137
urban contemporary,136
punk,135
australian pop,133
electric blues,129
old school thrash,125
thrash metal,125
conscious hip hop,118
easy listening,118
baton rouge rap,117
new orleans rap,117
queens hip hop,115
melancholia,114
chicago rap,111
modern power pop,109
new americana,108
indie poptimism,107
detroit rock,103
country dawn,99
dance rock,98
louisville indie,97
dmv rap,95
canadian hip hop,95
toronto rap,95
dutch trance,92
trance,92
